a,b,c,a^2 + b^2 - c^2,2ab,C,COS,Degrees
810,34,806,7620,55080,0.14,1.432006958,82.04795491
696,470,453,500107,654240,0.76,0.700672023,40.14554975
621,662,281,744924,822204,0.91,0.437039411,25.04051376
847,585,1295,-617391,990990,-0.62,2.243373886,128.5358555
634,654,865,81447,829272,0.10,1.472422676,84.363605
260,156,208,48672,81120,0.60,0.927295218,53.13010235
75,557,540,24274,83550,0.29,1.276012911,73.1101544
950,855,351,1510324,1624500,0.93,0.377154794,21.60937793
947,217,1074,-209578,410998,-0.51,2.105893489,120.658809
592,553,324,551297,654752,0.84,0.569828314,32.64875746
354,258,551,-111721,182664,-0.61,2.228903256,127.7067495
122,271,316,-11531,66124,-0.17,1.746076972,100.0428412
33,479,510,-29570,31614,-0.94,2.780029722,159.28397
738,108,742,5744,159408,0.04,1.534755201,87.93499562
443,239,494,9334,211754,0.04,1.526702589,87.47361493
894,32,889,9939,57216,0.17,1.396200472,79.99639439
162,275,130,84969,89100,0.95,0.305700499,17.51534836
669,822,221,1074404,1099836,0.98,0.215467477,12.34537704
972,514,692,730116,999216,0.73,0.751465913,43.05582525
750,275,653,211716,412500,0.51,1.031827923,59.11938518
116,478,462,28496,110896,0.26,1.310919541,75.11015695
978,65,917,119820,127140,0.94,0.340985152,19.53701011
290,760,649,240499,440800,0.55,0.993695434,56.93455448
290,607,502,200545,352060,0.57,0.964737047,55.27536112
706,159,777,-80012,224508,-0.36,1.935195722,110.8785474
507,53,470,38958,53742,0.72,0.759895654,43.53881382
346,837,686,349689,579204,0.60,0.92261116,52.86172557
755,181,848,-116318,273310,-0.43,2.010410095,115.1880135
273,123,276,13482,67158,0.20,1.368672402,78.41915216
257,24,239,9504,12336,0.77,0.691284079,39.60766015
232,325,381,14288,150800,0.09,1.475905979,84.56318354
880,979,1065,598616,1723040,0.35,1.215979598,69.67049892
435,851,587,568857,740370,0.77,0.694550457,39.79480985
112,931,878,108421,208544,0.52,1.024068202,58.67478592
565,240,532,93801,271200,0.35,1.217626324,69.76484938
223,525,437,134385,234150,0.57,0.959503102,54.97547818
835,493,947,43465,823310,0.05,1.517978779,86.97377741
603,225,689,-60487,271350,-0.22,1.795596296,102.8800895
15,225,234,-3906,6750,-0.58,2.187889207,125.3568176
958,159,1111,-291276,304644,-0.96,2.844252932,162.9636889
91,375,307,54657,68250,0.80,0.642107873,36.79007111
