industry,location,position,skillset,interviewtype,gender,candidatelocation,joblocation,interviewvenue,candidatenativelocation,permission,nomeetings,follow,alternativenumber,printout,clearvenue,callletter,expected attendance,observed attendance,marital status
pharmaceuticals,chennai,production- sterile,routine,scheduled walkin,male,chennai,hosur,hosur,hosur,yes,yes,yes,yes,yes,yes,yes,yes,no,single
pharmaceuticals,chennai,production- sterile,routine,scheduled walkin,male,chennai,bangalore,hosur,trichy,yes,yes,yes,yes,yes,yes,yes,yes,no,single
pharmaceuticals,chennai,production- sterile,routine,scheduled walkin,male,chennai,chennai,hosur,chennai,na,na,na,na,na,na,na,uncertain,no,single
pharmaceuticals,chennai,production- sterile,routine,scheduled walkin,male,chennai,chennai,hosur,chennai,yes,yes,no,yes,no,yes,yes,uncertain,no,single
pharmaceuticals,chennai,production- sterile,routine,scheduled walkin,male,chennai,bangalore,hosur,chennai,yes,yes,yes,no,yes,yes,yes,uncertain,no,married
it services,gurgaon,selenium testing,routine,scheduled walkin,male,gurgaon,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,gurgaon,selenium testing,routine,scheduled walkin,male,gurgaon,gurgaon,gurgaon,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,gurgaon,selenium testing,routine,scheduled walkin,female,gurgaon,gurgaon,gurgaon,noida,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,gurgaon,selenium testing,routine,scheduled walkin,male,gurgaon,gurgaon,gurgaon,delhi /ncr,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,gurgaon,selenium testing,routine,scheduled walkin,female,gurgaon,gurgaon,gurgaon,delhi /ncr,yes,yes,yes,yes,yes,yes,yes,yes,no,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,female,bangalore,bangalore,bangalore,trivandrum,no,yes,no,no,yes,yes,yes,uncertain,no,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,trivandrum,no,yes,yes,yes,yes,yes,havent checked,uncertain,yes,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,female,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,female,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,female,bangalore,bangalore,bangalore,bangalore,no,yes,yes,no,yes,yes,yes,no,no,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,no,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,trivandrum,not yet,yes,yes,yes,yes,yes,no,no,no,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,cochin,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
it services,bangalore,dot net,routine,scheduled walkin,male,bangalore,bangalore,bangalore,trivandrum,yes,yes,yes,no,no,yes,yes,uncertain,no,single
